DATE;event
08/03/2020;Prohibition of public meetings of more than 1000 people
13/03/2020;Prohibition of public meetings of more than 100 people
17/03/2020;First lockdown
02/06/2020;End of lockdown
27/08/2020;Masks are compulsory in closed areas
14/10/2020;Curfew in major urban areas
30/10/2020;Second lockdown
15/12/2020;End of second lockdown
16/01/2021;National curfew
03/04/2021;Third lockdown
