"","Param_a","Param_b","Distribution","True_a","True_b"
"1",30.697183372001,4.67562609046627,"gamma",34.214480222609,5.21575450832101
"2",32.1041021122442,4.67562609046627,"gamma",34.214480222609,5.21575450832101
"3",33.5110208524874,4.67562609046627,"gamma",34.214480222609,5.21575450832101
"4",34.9179395927306,4.67562609046627,"gamma",34.214480222609,5.21575450832101
"5",36.3248583329738,4.67562609046627,"gamma",34.214480222609,5.21575450832101
"6",37.731777073217,4.67562609046627,"gamma",34.214480222609,5.21575450832101
"7",30.697183372001,4.89167745760817,"gamma",34.214480222609,5.21575450832101
"8",32.1041021122442,4.89167745760817,"gamma",34.214480222609,5.21575450832101
"9",33.5110208524874,4.89167745760817,"gamma",34.214480222609,5.21575450832101
"10",34.9179395927306,4.89167745760817,"gamma",34.214480222609,5.21575450832101
"11",36.3248583329738,4.89167745760817,"gamma",34.214480222609,5.21575450832101
"12",37.731777073217,4.89167745760817,"gamma",34.214480222609,5.21575450832101
"13",30.697183372001,5.10772882475006,"gamma",34.214480222609,5.21575450832101
"14",32.1041021122442,5.10772882475006,"gamma",34.214480222609,5.21575450832101
"15",33.5110208524874,5.10772882475006,"gamma",34.214480222609,5.21575450832101
"16",34.9179395927306,5.10772882475006,"gamma",34.214480222609,5.21575450832101
"17",36.3248583329738,5.10772882475006,"gamma",34.214480222609,5.21575450832101
"18",37.731777073217,5.10772882475006,"gamma",34.214480222609,5.21575450832101
"19",30.697183372001,5.32378019189195,"gamma",34.214480222609,5.21575450832101
"20",32.1041021122442,5.32378019189195,"gamma",34.214480222609,5.21575450832101
"21",33.5110208524874,5.32378019189195,"gamma",34.214480222609,5.21575450832101
"22",34.9179395927306,5.32378019189195,"gamma",34.214480222609,5.21575450832101
"23",36.3248583329738,5.32378019189195,"gamma",34.214480222609,5.21575450832101
"24",37.731777073217,5.32378019189195,"gamma",34.214480222609,5.21575450832101
"25",30.697183372001,5.53983155903384,"gamma",34.214480222609,5.21575450832101
"26",32.1041021122442,5.53983155903384,"gamma",34.214480222609,5.21575450832101
"27",33.5110208524874,5.53983155903384,"gamma",34.214480222609,5.21575450832101
"28",34.9179395927306,5.53983155903384,"gamma",34.214480222609,5.21575450832101
"29",36.3248583329738,5.53983155903384,"gamma",34.214480222609,5.21575450832101
"30",37.731777073217,5.53983155903384,"gamma",34.214480222609,5.21575450832101
"31",30.697183372001,5.75588292617574,"gamma",34.214480222609,5.21575450832101
"32",32.1041021122442,5.75588292617574,"gamma",34.214480222609,5.21575450832101
"33",33.5110208524874,5.75588292617574,"gamma",34.214480222609,5.21575450832101
"34",34.9179395927306,5.75588292617574,"gamma",34.214480222609,5.21575450832101
